CVE,Highest_Threshold,Group_Size,Is_Base_CVE,Ratio_Score,Token_Sort_Score,Token_Set_Score,Similar_CVEs
CVE-2021-26729,95.0,3.0,True,,,,CVE-2021-26731|CVE-2021-26728
CVE-2021-26730,,,False,,,,
CVE-2021-26731,95.0,3.0,False,95.16129032258065,95.16129032258065,96.68411867364748,CVE-2021-26729|CVE-2021-26728
CVE-2021-28237,70.0,2.0,False,73.51351351351352,64.86486486486487,73.13432835820896,CVE-2024-36843
CVE-2021-28277,80.0,2.0,False,83.75451263537906,83.75451263537906,88.62745098039215,CVE-2021-28278
CVE-2021-28278,80.0,2.0,True,,,,CVE-2021-28277
CVE-2021-29568,75.0,24.0,False,76.49572649572649,74.21652421652422,72.94520547945206,CVE-2021-29559|CVE-2021-29555|CVE-2021-29556|CVE-2021-29537|CVE-2021-29558|CVE-2021-29548|CVE-2021-29547|CVE-2021-29553|CVE-2021-29543|CVE-2021-29526|CVE-2021-29524|CVE-2021-29525|CVE-2021-29527|CVE-2021-29528|CVE-2021-29564|CVE-2021-29546|CVE-2021-29581|CVE-2021-29582|CVE-2021-29520|CVE-2021-29515|CVE-2021-29577|CVE-2021-29578|CVE-2021-29570
CVE-2021-30289,80.0,2.0,False,84.12698412698413,83.33333333333334,87.38461538461539,CVE-2021-35072
CVE-2021-30311,80.0,4.0,False,81.02564102564102,75.8974358974359,81.89655172413794,CVE-2021-35073|CVE-2021-30287|CVE-2021-1979
CVE-2021-30349,85.0,2.0,True,,,,CVE-2021-1942
CVE-2021-30350,75.0,3.0,True,,,,CVE-2021-1929|CVE-2021-30314
CVE-2021-30982,75.0,2.0,True,,,,CVE-2021-30899
CVE-2021-31578,90.0,3.0,False,94.54545454545455,92.56198347107438,95.42743538767395,CVE-2021-31577|CVE-2021-31576
CVE-2021-31884,90.0,4.0,True,,,,CVE-2021-31888|CVE-2021-31887|CVE-2021-31886
CVE-2021-32040,,,False,,,,
CVE-2021-32435,75.0,2.0,True,,,,CVE-2018-10771
CVE-2021-32845,,,False,,,,
CVE-2021-32846,,,False,,,,
CVE-2021-32941,,,False,,,,
